name,type,d13C_avg,wt % C (%) avg
A1_S_76,sediment,-29.46,17.04
1B_S_77,sediment,-29.50,18.95
1C_S_78,sediment,-28.61,27.84
1D_S_79,sediment,-29.10,8.94
1E_S_80,sediment,-29.28,12.09
2A_S_81,sediment,-29.70,19.82
2B_S_82,sediment,-29.64,19.50
2C_S_83,sediment,-29.41,23.02
2D_S_84,sediment,-29.08,19.97
2E_S-85,sediment,-29.25,15.94
3A_S_86,sediment,-29.24,8.05
3B_S_87,sediment,-29.41,12.54
3C_S_88,sediment,-29.45,19.33
3D_S_89,sediment,-29.26,18.92
3E_S_90,sediment,-29.56,14.17
2B_BW_68,tube,-30.63,18.98
2C_BW_69,tube,-29.26,21.97
2D_BW_70,tube,-29.41,14.63
2E_BW_71,tube,-29.70,19.47
3A_BW_72,tube,-29.57,18.86
3B_BW_73,tube,-29.57,16.90
3C_BW_74,tube,-30.04,18.50
4A_BW_77,tube,-30.30,19.04
4B_BW_78,tube,-29.91,14.00
4C_BW_79,tube,-30.02,20.22
4D_BW_80,tube,-30.12,17.01
4E_BW_81,tube,-30.01,39.91
L_1A_31A,larva,-37.85,91.31
L_1A_31B,larva,-35.07,74.58
L_1B_32,larva,-32.90,54.56
L_1C_33,larva,-34.89,65.36
L_2B_37A,larva,-33.07,47.96
L_2B_37B,larva,-33.93,61.38
L_3A_41,larva,-32.72,53.85
L_3B_42,larva,-34.23,60.01
L_4C_48,larva,-34.48,73.51
L_4E_50,larva,-68.76,71.06
